candidate_group,n_sites,n_5UTR,frac_5UTR,n_CDS,frac_CDS,n_3UTR,frac_3UTR,n_ncRNA,frac_ncRNA
Not_candidate,63239,1479,0.023387466594980946,41306,0.6531728838216924,19989,0.3160865921346005,465,0.007353057448726261
A_only,443,3,0.006772009029345372,382,0.8623024830699775,58,0.1309255079006772,0,0.0
B_only,0,0,,0,,0,,0,
A_and_B_overlap,987,19,0.019250253292806486,577,0.5845997973657548,391,0.3961499493414387,0,0.0
ALL_matched,64669,1501,0.023210502713819605,42265,0.6535588922049205,20438,0.31604014288144244,465,0.007190462199817532
