burden_category,n_transcripts_total,n_with_ribo_data,mean_ribo_change,median_ribo_change,min_ribo_change,max_ribo_change
0_sites,9862,1697,-0.2765019606306745,-0.29461618880815,-1.96460330301207,1.38618149224159
1_site,1039,209,-0.3284754707206189,-0.372252333054439,-1.53224795816109,1.13570450915712
2_to_3_sites,1288,519,-0.34116967291678685,-0.353301022509652,-1.83999937967481,1.74491455612495
4_or_more_sites,4276,3276,-0.27543041456494827,-0.28200861271940647,-2.23666550480858,1.45327888932791
