proxy,proxy_label,group,n,median_ribo,mean_ribo,pct_positive
ER_membrane_core,ER/membrane-associated (core proxy),yes,341,0.129196924889239,0.07673806341675644,56.598240469208214
ER_membrane_core,ER/membrane-associated (core proxy),no,5360,-0.313768150947784,-0.3066082049542091,28.91791044776119
ER_membrane_broad,ER/membrane-associated (broad proxy),yes,486,0.14561183419422202,0.09566130999702387,58.43621399176955
ER_membrane_broad,ER/membrane-associated (broad proxy),no,5215,-0.323139167834468,-0.31903043060172587,27.976989453499524
is_receptor_or_signaling,Receptor/signaling (descriptive only),yes,417,-0.28464105425786,-0.2462590083829362,31.654676258992804
is_receptor_or_signaling,Receptor/signaling (descriptive only),no,5284,-0.295279570933506,-0.2866317737384108,30.488266464799395
