Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description,mean_CLIP_enrichment
NM_029478,Tmem49,0.000884787123800023,0.0406646582121484,620.0,2623.0,2.0791025463976,2478.0,1.99709309786624,2557.0,2.04235109066115,0.864792549158629,0.257457985249214,99.9622846092512,50.2312120660165,119.491977775016,32.972185656302,23.9282259332,17.5699138548,23.9282259332,-0.44343512804,vacuole membrane protein 1,2.0395155783083303
NM_011631,Hsp90b1,0.000385394688473428,0.0251809901234001,7119.0,31508.0,2.14581482201705,35048.0,2.29942413628759,36238.0,2.34759399906477,0.853481236367716,0.510342522664603,2013.96616560351,432.417110658615,2868.6699068583,340.884947981408,454.955280023,366.727544283,454.955280023,-0.310939842423,endoplasmin precursor,2.2642776524564696
NM_026417,Yipf4,0.000147952913345683,0.0143695777631491,405.0,2381.0,2.55262178067893,2466.0,2.60320608311494,2362.0,2.54106799678867,0.844764851595955,0.800666041478242,65.8540268536906,41.4654966884742,114.711466366055,40.2171978128438,25.3997330687,24.7447717377,25.3997330687,-0.0375398578956,protein YIPF4,2.565631953527513
NM_177389,Mia3,0.000507092105318962,0.0296620069560154,1465.0,6458.0,2.13942571675457,6516.0,2.15232289148258,7055.0,2.2669654574237,0.840634456841238,0.747694457319364,70.758640837718,37.6961574812707,118.811352967122,35.3442976110963,36.0586359536,33.5281155818,36.0586359536,-0.104672317782,melanoma inhibitory activity protein 3 precursor,2.18623802188695
NM_053262,Hsd17b11,0.000535865513192512,0.0309928958332411,498.0,2082.0,2.06155111870338,2002.0,2.00505070047544,2758.0,2.46703373601601,0.838506966340229,0.561925637664377,78.6235636380781,40.1186221555378,116.067116902333,33.1197258250789,35.8258671886,31.0049322457,35.8258671886,-0.207879617573,estradiol 17-beta-dehydrogenase 11,2.177878518398277
NM_030201,Hspa13,0.000643556453518323,0.034870598363006,303.0,1365.0,2.1678142548465,1241.0,2.03052194477689,1329.0,2.12928301694496,0.79706981610956,0.613234330227184,52.7407273190128,17.2241925009797,80.6766845570931,15.1634797312033,10.4651453314,9.19406452405,10.4651453314,-0.184931046847,heat shock 70 kDa protein 13 precursor,2.1092064055227833
NM_133819,Ppp1r15b,0.000373013611208894,0.0249531475400562,2635.0,11948.0,2.18046761007729,12479.0,2.24319565874155,13992.0,2.40828302379418,0.792021243604485,0.69186793853985,46.2103921380593,68.4564639424577,74.6470512174948,63.8653524594278,60.0652041733,50.8790450411,60.0652041733,-0.239025014231,protein phosphatase 1 regulatory subunit 15B,2.2773154308710066
NM_019760,Serinc1,0.000357161005351991,0.0245131503339916,769.0,3382.0,2.13537282621172,3980.0,2.37020052050908,3945.0,2.35746060514129,0.735326971282055,0.781945170589771,95.9773896308596,32.5663254430288,165.028094548262,33.6358366663977,28.1315852929,25.4021747233,28.1315852929,-0.14668986337,serine incorporator 1 precursor,2.2876779839540298
NM_029572,Erp44,0.000788642903786884,0.0386559922092962,372.0,1511.0,2.01921060396583,1598.0,2.09992240322509,1579.0,2.08267702280922,0.706890101902748,0.478564209824458,91.7941601859272,32.4103921907436,127.901970345692,27.6663167001155,20.0133568153,18.7208972686,20.0133568153,-0.0958184712427,endoplasmic reticulum resident protein 44 precursor,2.0672700100000463
NM_001025192,Cxadr,0.000851842575722017,0.0400512671566308,357.0,1527.0,2.09361305077149,1488.0,2.05631226131784,1441.0,2.01003967197656,0.703920880639591,0.725851171906175,58.8240987613624,15.0261840076049,97.2877719043136,15.2563406867835,8.76864256637,9.13601841974,8.76864256637,0.0585577476853,coxsackievirus and adenovirus receptor homolog isoform a,2.0533216613552967
NM_178736,Elmod2,0.00127268684963455,0.0497843406844549,180.0,740.0,2.03348384522262,702.0,1.95753499198933,675.0,1.90103354919897,0.7029847233062,0.658028534765685,22.7497611843819,15.5883881711547,35.897414433618,15.1101247708542,7.27260447191,7.25134890233,7.27260447191,-0.00416536582895,ELMO domain-containing protein 2,1.9640174621369733
NM_007597,Canx,0.000130834551378966,0.0133360564994699,8071.0,48342.0,2.58230892500763,49695.0,2.62213165528094,49965.0,2.62994864900026,0.680820523073022,0.411638341806769,1724.58643097722,423.024159704109,2294.0371835342,351.021130515712,259.162049951,221.026958953,259.162049951,-0.229536120268,calnexin precursor,2.61146307642961
NM_001039644,Edem3,0.000235773229005031,0.0194467308881659,1124.0,5780.0,2.36139407091247,5844.0,2.37727802331461,6304.0,2.48657136911118,0.626335409647988,0.434835581861904,48.791209504605,25.7413476920725,65.9538477633319,22.5415662320563,24.7335977328,20.7927235586,24.7335977328,-0.249292711859,ER degradation-enhancing alpha-mannosidase-like,2.4084144877794196
NM_008477,Ktn1,7.16670115704642e-05,0.00879543711775078,1214.0,8873.0,2.86862823932708,9016.0,2.8916912077837,9583.0,2.97967159429564,0.605196674412884,0.109733550849733,22.5598014083271,50.9254023675759,24.3426784623932,36.1231161180735,48.7082393136,36.906964373,48.7082393136,-0.399327911204,kinectin,2.913330347135473
NM_007594,Calu,0.000774720601308565,0.0385301864273994,1854.0,7642.0,2.04271984350789,7686.0,2.05100148161772,8039.0,2.11577631455812,0.591466885983573,0.526489312653493,319.492629573053,98.2428780761389,460.203502127047,93.9162791994366,76.039428674,70.6013936801,76.039428674,-0.106905090407,calumenin isoform 1,2.0698325465612437
NM_011149,Ppib,0.000960968976866039,0.0424599811881367,1447.0,6577.0,2.18358740575219,5616.0,1.9557382004954,5593.0,1.94981865139298,0.584776916170851,0.352450591728614,655.656888953967,274.556772304854,837.095155933724,233.719510568535,61.3140688542,44.1363916612,61.3140688542,-0.473335478329,peptidyl-prolyl cis-trans isomerase B precursor,2.0297147525468566
NM_011479,Sptlc2,0.000576409381648712,0.0323131534851468,903.0,3978.0,2.13801122127855,3578.0,1.98516186600119,4565.0,2.33653618180951,0.568933266317062,0.211543224748804,54.8145212526009,59.5294485081568,63.4711666969319,46.4672249062106,32.8560496829,26.012507519,32.8560496829,-0.335802319773,serine palmitoyltransferase 2,2.15323642302975
NM_026482,Atp2b1,0.000516946512394644,0.0300675951700727,1044.0,4842.0,2.21239806063337,4549.0,2.12236360300517,4788.0,2.19622149326775,0.558753930124551,0.578018845938311,40.1923582734992,28.8201171242966,59.9990673676442,29.2075453016744,19.6255053489,19.901232554,19.6255053489,0.0200266460361,plasma membrane calcium ATPase 1,2.17699438563543
NM_026009,Ccdc47,0.00128511941440856,0.0497843406844549,1137.0,4047.0,1.83070873238772,4348.0,1.93418315115748,4809.0,2.07953633635082,0.54656558983839,0.205978479447316,90.5189957399699,69.4117373538508,104.410801072362,54.8158279824206,44.2509236217,33.8310998969,44.2509236217,-0.386355952781,coiled-coil domain-containing protein 47 precursor,1.9481427399653402
NM_025382,Tmem57,0.000481343290738789,0.0289817741017092,981.0,4176.0,2.08867221384809,4840.0,2.30151016454616,4642.0,2.24126235125196,0.489617135326778,0.0492594749341819,27.9118527443136,37.4549372533466,28.8813337178582,27.602486697635,30.9602230521,22.9228100987,30.9602230521,-0.43200425469,macoilin,2.210481576548737
NM_026614,Ndufa5,0.000471393728364133,0.0287159670621819,405.0,1952.0,2.26614031670161,1678.0,2.04805059775185,2041.0,2.33043123369262,0.48818278534369,0.400967945839202,259.107733665481,97.7567459758971,342.124168330379,92.0221665621006,69.9339801735,69.2140350698,69.9339801735,-0.0149075746913,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,2.214874049382027
NM_026168,Ergic2,0.000155295142173383,0.0149417148474297,586.0,3137.0,2.41841294385804,3327.0,2.50322302503104,3696.0,2.65492263507719,0.476612495895705,0.656809527476523,30.1535296171689,30.4688978456483,47.5398191147914,34.5224378445211,18.3920958762,21.2443993792,18.3920958762,0.206948818769,endoplasmic reticulum-Golgi intermediate compartment protein 2 isoform 1,2.5255195346554236
NM_018794,Atp6ap1,0.000193763653230427,0.017741320568628,499.0,2482.0,2.31208426151475,2833.0,2.50283975825593,2954.0,2.5631581304028,0.457352815225601,0.933118630957137,94.7618533806802,19.4106983441568,180.938190855003,26.9936083145989,19.9228072061,24.5401712306,19.9228072061,0.299368026899,V-type proton ATPase subunit S1 precursor,2.4593607167244933
NM_001039089,Sel1l,0.00123808080001341,0.049403262930768,823.0,3139.0,1.93004831659577,3024.0,1.8762188998661,3457.0,2.06922162645906,0.448968377771856,0.761536065930201,99.0163193236351,21.009236662532,167.861839175237,26.0917088133888,18.431380698,19.3504021099,18.431380698,0.0698296064979,protein sel-1 homolog 1 isoform a,1.9584962809736435
NM_023403,Mesdc2,0.00104178196223869,0.044136400416655897,838.0,3467.0,2.04736118278201,3336.0,1.99180897074249,3293.0,1.97309783928653,0.437658075436757,0.646803167960028,241.152853113309,66.4200887292681,377.571807813921,76.7818192059704,21.6209895514,23.7783251747,21.6209895514,0.136611819496,LDLR chaperone MESD precursor,2.0040893309370102
NM_008255,Hmgcr,0.00103138027464766,0.0440583399481232,2716.0,10514.0,1.95236237939716,10598.0,1.96384168438983,11487.0,2.08004118360107,0.420757440641198,0.106558088034932,144.846452447338,80.5567968034028,155.949879596157,64.7916081167659,75.0753688607,60.4930974847,75.0753688607,-0.311106584443,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1.99874841579602
NM_025448,Ssr2,0.000349280383473926,0.024461507128327,2513.0,12521.0,2.31640845146048,12376.0,2.29960511431666,12147.0,2.27266225874695,0.396727469728027,0.527526510531557,1123.84376265077,270.734057320386,1619.97101005294,296.426704970254,214.629867398,228.363276861,214.629867398,0.0894394116481,translocon-associated protein subunit beta precursor,2.296225274841363
NM_028817,Acsl3,0.000209946360014479,0.0184734852679407,1313.0,6684.0,2.34696228465838,7097.0,2.43344729873861,7533.0,2.51945075762506,0.375121296835697,-0.0381446515808384,71.3584742153877,71.9658437105468,69.4964900790432,54.0407010918779,56.5246568936,40.9042345435,56.5246568936,-0.46565749763,long-chain-fatty-acid--CoA ligase 3 isoform a,2.4332867803406835
NM_029103,Manf,0.00033882663426632,0.0238919191765189,1010.0,4131.0,2.03105725696204,5603.0,2.4706739585278,5405.0,2.41877851463168,0.366731531851804,0.181703505984002,457.328532527063,207.894877722609,518.712248563613,182.870984582077,68.2221980987,62.7653249381,68.2221980987,-0.120089911664,mesencephalic astrocyte-derived neurotrophic factor precursor,2.3068365767071737
NM_133815,Lbr,0.00110124517631127,0.0453492763604981,4111.0,16602.0,2.01353177639028,15934.0,1.95428684947133,16746.0,2.02599050964188,0.363356118901452,0.132760083861141,355.872966468657,129.026583847286,390.175293723631,109.967126148332,117.506077902,95.6938168364,117.506077902,-0.295958177787,lamin-B receptor,1.9979363785011632
NM_172700,Zmpste24,0.000212865041977039,0.0185715729419798,486.0,2547.0,2.38737160017395,2401.0,2.30224247362329,2872.0,2.56056431545018,0.344085143553899,0.235345759038247,62.3579426825645,25.3680086785313,73.4070736331338,23.5262420605028,16.4587566752,14.8115104945,16.4587566752,-0.151167945211,CAAX prenyl protease 1 homolog,2.41672612974914
NM_016783,Pgrmc1,2.2809169476945e-05,0.00415630342273283,899.0,14387.0,3.99879725291834,14928.0,4.05204871995635,14839.0,4.04342228029112,0.314689645308033,0.243639780839327,225.141867342478,90.2771001912093,266.562557179366,85.9388346342335,60.7014740423,52.109387561,60.7014740423,-0.219797064771,membrane-associated progesterone receptor,4.03142275105527
