dominant_binding_region,n_all,median_ribo_all,mean_ribo_all,n_hc,median_ribo_hc,mean_ribo_hc
5UTR,24,-0.08831718094083629,-0.16005785151840504,0,,
CDS,2812,-0.36179336418638897,-0.3343431504942416,21,0.79706981610956,0.7432083389816265
3UTR,867,-0.151171258562228,-0.1317563624975992,13,0.680820523073022,0.685994784593287
tie,271,-0.251987271402113,-0.2770958892824188,0,,
