dominant_binding_region,ER_membrane_core,n,median_ribo,mean_ribo,n_hc,hc_fraction,note
CDS,yes,114,-0.019674731334686398,-0.07664645414098278,5,0.043859649122807015,
CDS,no,2698,-0.370503926239669,-0.3452317432979004,16,0.005930318754633061,
3UTR,yes,42,0.3587941020710935,0.24224312777283408,6,0.14285714285714285,
3UTR,no,825,-0.163860820185227,-0.1507963365477303,7,0.008484848484848486,
5UTR,yes,0,,,0,,n too small
5UTR,no,24,-0.08831718094083629,-0.16005785151840504,0,0.0,
tie,yes,11,-0.191776155848841,-0.21542564471299006,0,0.0,
tie,no,260,-0.255637961960134,-0.2797050150142023,0,0.0,
