Accession,Gene Symbol,Description,candidate_group,high_confidence,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),mean_CLIP_enrichment,CLIP-seq FDR,total_binding_site_count,binding_site_count,dominant_binding_region,5UTR_site_count,CDS_site_count,3UTR_site_count,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear,is_adhesion_or_ECM,ER_membrane_core,ER_membrane_broad
NM_172645,AI848100,protein osteopotentia precursor,Not_candidate,False,1.10681507555285,0.0635885020056,1.89691230732904,0.0578113461445963,32,32,CDS,0,26,6,False,False,False,False,False,False,False,False,True,False,False,False
NM_001128096,Atp13a3,probable cation-transporting ATPase 13A3 isoform 1,Not_candidate,False,1.10613690623473,-0.526498205479,2.149319425769033,0.0334032840485012,73,73,CDS,1,49,23,False,False,False,False,False,False,True,False,False,False,False,True
NM_011992,Rcn2,reticulocalbin-2 precursor,Not_candidate,False,1.10361830877088,-0.417046497115,1.6551553564771602,0.103810706856211,15,15,CDS,0,11,4,False,False,False,False,False,False,False,False,True,False,False,False
NM_198295,Tmx3,protein disulfide-isomerase TMX3 precursor,Not_candidate,False,1.1024920416793,-0.611162563038,2.6238093899831068,0.0132015540593999,0,0,none,0,0,0,True,False,False,False,False,False,False,False,False,False,True,True
NM_146094,Fads1,fatty acid desaturase 1,Not_candidate,False,1.09853242759813,-0.454959256217,1.124861365451023,0.298791157314589,15,15,3UTR,0,5,10,False,False,False,False,False,False,False,False,True,False,False,False
NM_173874,Clcn3,H(+)/Cl(-) exchange transporter 3 isoform e,Not_candidate,False,1.09218991810054,-0.0898816535539,1.545133636335397,0.13764066225183,34,34,CDS,2,22,10,False,False,False,False,False,False,True,False,False,False,False,True
NM_019961,Pex3,peroxisomal biogenesis factor 3 isoform 1,Not_candidate,False,1.08779363465935,-0.309857541296,-0.4910785373015474,0.999999999990223,3,3,3UTR,0,0,3,False,False,False,False,False,False,False,False,True,False,False,False
NM_145925,Pttg1ip,pituitary tumor-transforming gene 1 protein-interacting protein precursor,Not_candidate,False,1.08499235867636,0.164552370443,0.4534842530325186,0.714251349978202,12,12,3UTR,1,2,9,False,False,False,False,False,False,False,False,True,False,False,False
NM_144908,Galnt11,polypeptide N-acetylgalactosaminyltransferase 11,Not_candidate,False,1.08450949978612,0.070599131054,0.4145926584909293,0.747768641781455,7,7,CDS,0,6,1,False,False,False,False,False,False,False,False,True,False,False,False
NM_201358,Lyrm4,LYR motif-containing protein 4,Not_candidate,False,1.08221715349018,-0.233343658687,-0.4736479489263789,0.999999999990223,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
